SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftColors	rightColors	TOA	Mask	SOA	Blocked
3	22-May-16	1	blue	k	1	0.6388	C	D	b	r	2000	1	6	1
3	22-May-16	2	blue	s	1	0.5751	C	B	r	b	2000	1	6	1
3	22-May-16	3	blue	l	1	0.5589	D	C	b	r	2000	1	6	1
3	22-May-16	4	blue	s	1	0.6315	B	C	b	r	2000	1	6	1
3	22-May-16	5	blue	a	1	0.6963	C	A	r	b	2000	1	6	1
3	22-May-16	6	blue	s	0	0.6313	C	B	b	r	2000	1	6	1
3	22-May-16	7	blue	a	1	0.601	D	A	r	b	2000	1	6	1
3	22-May-16	8	blue	l	1	0.4797	A	D	r	b	2000	1	6	1
3	22-May-16	9	blue	s	0	0.6799	A	C	r	b	2000	1	6	1
3	22-May-16	10	blue	a	1	0.5534	A	B	b	r	2000	1	6	1
3	22-May-16	11	blue	s	1	0.7283	C	B	r	b	2000	1	6	1
3	22-May-16	12	blue	k	1	0.6175	C	D	b	r	2000	1	6	1
3	22-May-16	13	blue	a	1	0.5459	B	A	r	b	2000	1	6	1
3	22-May-16	14	blue	k	1	0.744	C	D	b	r	2000	1	6	1
3	22-May-16	15	blue	s	1	0.7216	C	B	r	b	2000	1	6	1
3	22-May-16	16	blue	a	1	0.6335	A	C	b	r	2000	1	6	1
3	22-May-16	17	blue	s	1	0.6895	B	D	b	r	2000	1	6	1
3	22-May-16	18	blue	a	1	0.6666	D	A	r	b	2000	1	6	1
3	22-May-16	19	blue	s	1	0.7065	C	B	r	b	2000	1	6	1
3	22-May-16	20	blue	l	1	0.7941	C	D	r	b	2000	1	6	1
3	22-May-16	21	blue	l	1	0.7465	D	C	b	r	2000	1	6	1
3	22-May-16	22	blue	s	0	0.6358	D	C	r	b	2000	1	6	1
3	22-May-16	23	blue	k	1	0.8433	D	C	r	b	2000	1	6	1
3	22-May-16	24	blue	k	1	0.5872	C	D	b	r	2000	1	6	1
3	22-May-16	25	blue	a	1	0.5318	A	C	b	r	2000	1	6	1
3	22-May-16	26	blue	l	1	0.5325	A	D	r	b	2000	1	6	1
3	22-May-16	27	blue	s	1	0.5872	B	D	b	r	2000	1	6	1
3	22-May-16	28	blue	l	1	0.5866	A	D	r	b	2000	1	6	1
3	22-May-16	29	blue	s	1	0.5706	B	D	b	r	2000	1	6	1
3	22-May-16	30	blue	l	1	0.4364	C	D	r	b	2000	1	6	1
3	22-May-16	31	blue	l	1	0.5168	A	D	r	b	2000	1	6	1
3	22-May-16	32	blue	a	1	0.4754	A	B	b	r	2000	1	6	1
3	22-May-16	1	Red	s	1	0.8675	B	D	r	b	2000	1	6	1
3	22-May-16	2	Red	s	1	0.574	B	D	r	b	2000	1	6	1
3	22-May-16	3	Red	s	1	0.5821	C	B	b	r	2000	1	6	1
3	22-May-16	4	Red	s	1	0.55	B	D	r	b	2000	1	6	1
3	22-May-16	5	Red	s	1	0.4306	B	C	r	b	2000	1	6	1
3	22-May-16	6	Red	k	1	0.6624	C	B	r	b	2000	1	6	1
3	22-May-16	7	Red	l	1	0.5101	C	D	b	r	2000	1	6	1
3	22-May-16	8	Red	a	1	0.5984	A	B	r	b	2000	1	6	1
3	22-May-16	9	Red	a	1	0.5338	C	A	b	r	2000	1	6	1
3	22-May-16	10	Red	s	1	0.7584	B	D	r	b	2000	1	6	1
3	22-May-16	11	Red	k	1	0.9333	B	C	b	r	2000	1	6	1
3	22-May-16	12	Red	l	1	0.8055	B	D	b	r	2000	1	6	1
3	22-May-16	13	Red	NaN	99	0	B	A	b	r	2000	1	6	1
3	22-May-16	14	Red	s	0	0.8441	D	C	b	r	2000	1	6	1
3	22-May-16	15	Red	a	1	0.5549	B	A	b	r	2000	1	6	1
3	22-May-16	16	Red	a	1	0.5324	D	A	b	r	2000	1	6	1
3	22-May-16	17	Red	s	1	0.5877	A	B	b	r	2000	1	6	1
3	22-May-16	18	Red	a	1	0.5154	A	D	r	b	2000	1	6	1
3	22-May-16	19	Red	k	1	0.7323	A	C	b	r	2000	1	6	1
3	22-May-16	20	Red	k	1	0.5879	B	C	b	r	2000	1	6	1
3	22-May-16	21	Red	k	1	0.5387	C	D	r	b	2000	1	6	1
3	22-May-16	22	Red	a	1	0.5407	D	A	b	r	2000	1	6	1
3	22-May-16	23	Red	l	1	0.6847	D	C	r	b	2000	1	6	1
3	22-May-16	24	Red	k	1	0.7075	C	A	r	b	2000	1	6	1
3	22-May-16	25	Red	l	1	0.5572	C	D	b	r	2000	1	6	1
3	22-May-16	26	Red	l	0	0.5012	C	D	r	b	2000	1	6	1
3	22-May-16	27	Red	l	1	0.5397	C	D	b	r	2000	1	6	1
3	22-May-16	28	Red	l	1	0.5174	D	A	r	b	2000	1	6	1
3	22-May-16	29	Red	a	1	0.5325	D	A	b	r	2000	1	6	1
3	22-May-16	30	Red	l	1	0.6202	B	D	b	r	2000	1	6	1
3	22-May-16	31	Red	s	1	0.5804	A	B	b	r	2000	1	6	1
3	22-May-16	32	Red	l	1	0.5342	D	C	r	b	2000	1	6	1
3	22-May-16	1	blue	a	1	0.7014	C	A	r	b	2000	1	6	1
3	22-May-16	2	blue	a	1	0.5804	A	B	b	r	2000	1	6	1
