SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftColors	rightColors	TOA	Mask	SOA	Blocked
1	29-May-16	1	blue	k	1	0.7452	C	D	b	r	2000	1	6	1
1	29-May-16	2	blue	s	1	0.5762	C	B	r	b	2000	1	6	1
1	29-May-16	3	blue	l	1	0.6176	D	C	b	r	2000	1	6	1
1	29-May-16	4	blue	s	1	0.817	B	C	b	r	2000	1	6	1
1	29-May-16	5	blue	a	1	0.6194	C	A	r	b	2000	1	6	1
1	29-May-16	6	blue	k	1	0.8426	C	B	b	r	2000	1	6	1
1	29-May-16	7	blue	a	1	0.6347	D	A	r	b	2000	1	6	1
1	29-May-16	8	blue	l	1	0.627	A	D	r	b	2000	1	6	1
1	29-May-16	9	blue	k	1	0.6021	A	C	r	b	2000	1	6	1
1	29-May-16	10	blue	a	1	0.4821	A	B	b	r	2000	1	6	1
1	29-May-16	11	blue	k	0	0.7462	C	B	r	b	2000	1	6	1
1	29-May-16	12	blue	k	1	0.5782	C	D	b	r	2000	1	6	1
1	29-May-16	13	blue	a	1	0.5073	B	A	r	b	2000	1	6	1
1	29-May-16	14	blue	k	1	0.7638	C	D	b	r	2000	1	6	1
1	29-May-16	15	blue	s	1	0.6752	C	B	r	b	2000	1	6	1
1	29-May-16	16	blue	a	1	0.5477	A	C	b	r	2000	1	6	1
1	29-May-16	17	blue	s	1	1.1241	B	D	b	r	2000	1	6	1
1	29-May-16	18	blue	a	1	0.4761	D	A	r	b	2000	1	6	1
1	29-May-16	19	blue	k	0	0.4991	C	B	r	b	2000	1	6	1
1	29-May-16	20	blue	l	1	0.6919	C	D	r	b	2000	1	6	1
1	29-May-16	21	blue	l	1	0.739	D	C	b	r	2000	1	6	1
1	29-May-16	22	blue	k	1	0.596	D	C	r	b	2000	1	6	1
1	29-May-16	23	blue	k	1	0.5474	D	C	r	b	2000	1	6	1
1	29-May-16	24	blue	k	1	0.621	C	D	b	r	2000	1	6	1
1	29-May-16	25	blue	a	1	0.3641	A	C	b	r	2000	1	6	1
1	29-May-16	26	blue	l	1	0.7006	A	D	r	b	2000	1	6	1
1	29-May-16	27	blue	s	1	0.5483	B	D	b	r	2000	1	6	1
1	29-May-16	28	blue	l	1	0.4444	A	D	r	b	2000	1	6	1
1	29-May-16	29	blue	s	1	0.6773	B	D	b	r	2000	1	6	1
1	29-May-16	30	blue	l	1	0.5076	C	D	r	b	2000	1	6	1
1	29-May-16	31	blue	l	1	0.4679	A	D	r	b	2000	1	6	1
1	29-May-16	32	blue	a	1	0.4532	A	B	b	r	2000	1	6	1
1	29-May-16	1	Red	k	0	0.871	B	D	r	b	2000	1	6	1
1	29-May-16	2	Red	s	1	0.6479	B	D	r	b	2000	1	6	1
1	29-May-16	3	Red	s	1	0.4969	C	B	b	r	2000	1	6	1
1	29-May-16	4	Red	s	1	0.5293	B	D	r	b	2000	1	6	1
1	29-May-16	5	Red	s	1	0.4413	B	C	r	b	2000	1	6	1
1	29-May-16	6	Red	k	1	0.5929	C	B	r	b	2000	1	6	1
1	29-May-16	7	Red	l	1	0.6241	C	D	b	r	2000	1	6	1
1	29-May-16	8	Red	a	1	0.4165	A	B	r	b	2000	1	6	1
1	29-May-16	9	Red	a	1	0.5136	C	A	b	r	2000	1	6	1
1	29-May-16	10	Red	s	1	0.6425	B	D	r	b	2000	1	6	1
1	29-May-16	11	Red	k	1	0.4005	B	C	b	r	2000	1	6	1
1	29-May-16	12	Red	l	1	0.4901	B	D	b	r	2000	1	6	1
1	29-May-16	13	Red	a	1	0.5546	B	A	b	r	2000	1	6	1
1	29-May-16	14	Red	k	1	0.8743	D	C	b	r	2000	1	6	1
1	29-May-16	15	Red	a	1	0.5544	B	A	b	r	2000	1	6	1
1	29-May-16	16	Red	a	1	0.4418	D	A	b	r	2000	1	6	1
1	29-May-16	17	Red	s	1	0.4733	A	B	b	r	2000	1	6	1
1	29-May-16	18	Red	a	1	0.666	A	D	r	b	2000	1	6	1
1	29-May-16	19	Red	k	1	0.4028	A	C	b	r	2000	1	6	1
1	29-May-16	20	Red	NaN	99	0	B	C	b	r	2000	1	6	1
1	29-May-16	21	Red	NaN	NaN	0	C	D	r	b	2000	1	6	1
1	29-May-16	22	Red	a	1	0.5621	D	A	b	r	2000	1	6	1
1	29-May-16	23	Red	l	1	0.7558	D	C	r	b	2000	1	6	1
1	29-May-16	24	Red	k	1	0.6104	C	A	r	b	2000	1	6	1
1	29-May-16	25	Red	l	1	0.652	C	D	b	r	2000	1	6	1
1	29-May-16	26	Red	k	1	0.7464	C	D	r	b	2000	1	6	1
1	29-May-16	27	Red	l	1	0.458	C	D	b	r	2000	1	6	1
1	29-May-16	28	Red	l	1	0.6353	D	A	r	b	2000	1	6	1
1	29-May-16	29	Red	a	1	0.8284	D	A	b	r	2000	1	6	1
1	29-May-16	30	Red	l	1	0.6422	B	D	b	r	2000	1	6	1
1	29-May-16	31	Red	s	1	0.9796	A	B	b	r	2000	1	6	1
1	29-May-16	32	Red	l	1	0.5458	D	C	r	b	2000	1	6	1
1	29-May-16	1	blue	a	1	0.773	C	A	r	b	2000	1	6	1
1	29-May-16	2	blue	a	1	0.3578	A	B	b	r	2000	1	6	1
1	29-May-16	3	blue	k	0	0.5582	B	D	b	r	2000	1	6	1
1	29-May-16	4	blue	a	1	0.4453	A	B	b	r	2000	1	6	1
1	29-May-16	5	blue	k	1	0.5325	C	A	b	r	2000	1	6	1
1	29-May-16	6	blue	k	1	0.5021	B	C	r	b	2000	1	6	1
1	29-May-16	7	blue	s	1	0.3664	D	B	r	b	2000	1	6	1
1	29-May-16	8	blue	s	1	0.5091	A	B	r	b	2000	1	6	1
1	29-May-16	9	blue	a	1	0.5258	A	D	b	r	2000	1	6	1
1	29-May-16	10	blue	l	1	0.5976	A	D	r	b	2000	1	6	1
1	29-May-16	11	blue	a	0	0.6603	D	B	b	r	2000	1	6	1
1	29-May-16	12	blue	l	1	0.6381	D	C	b	r	2000	1	6	1
1	29-May-16	13	blue	a	1	0.4945	A	B	b	r	2000	1	6	1
1	29-May-16	14	blue	a	1	0.5182	A	B	b	r	2000	1	6	1
1	29-May-16	15	blue	l	1	0.6456	D	A	b	r	2000	1	6	1
1	29-May-16	16	blue	s	1	0.5496	C	B	r	b	2000	1	6	1
1	29-May-16	17	blue	k	1	0.646	C	A	b	r	2000	1	6	1
1	29-May-16	18	blue	a	1	0.4134	A	B	b	r	2000	1	6	1
1	29-May-16	19	blue	a	1	0.4373	A	B	b	r	2000	1	6	1
1	29-May-16	20	blue	k	1	0.5573	C	B	b	r	2000	1	6	1
1	29-May-16	21	blue	k	1	0.5489	C	A	b	r	2000	1	6	1
1	29-May-16	22	blue	a	0	0.4697	A	D	r	b	2000	1	6	1
1	29-May-16	23	blue	k	0	0.6451	B	C	b	r	2000	1	6	1
1	29-May-16	24	blue	s	1	0.5419	B	A	b	r	2000	1	6	1
1	29-May-16	25	blue	s	1	0.5327	A	B	r	b	2000	1	6	1
1	29-May-16	26	blue	l	1	0.7645	D	B	b	r	2000	1	6	1
1	29-May-16	27	blue	l	1	0.7889	A	D	r	b	2000	1	6	1
1	29-May-16	28	blue	k	1	0.6613	D	C	r	b	2000	1	6	1
1	29-May-16	29	blue	k	1	0.4057	C	B	b	r	2000	1	6	1
1	29-May-16	30	blue	s	1	0.6115	D	B	r	b	2000	1	6	1
1	29-May-16	31	blue	k	1	0.4747	A	C	r	b	2000	1	6	1
1	29-May-16	32	blue	l	1	0.5238	C	D	r	b	2000	1	6	1
1	29-May-16	1	Red	k	0	0.6177	A	B	b	r	2000	1	6	1
1	29-May-16	2	Red	l	1	0.5283	D	A	r	b	2000	1	6	1
1	29-May-16	3	Red	k	1	0.6653	C	D	r	b	2000	1	6	1
1	29-May-16	4	Red	a	1	0.4644	A	C	r	b	2000	1	6	1
1	29-May-16	5	Red	k	0	0.5134	D	B	b	r	2000	1	6	1
1	29-May-16	6	Red	s	1	0.5772	A	B	b	r	2000	1	6	1
1	29-May-16	7	Red	a	1	0.5365	C	A	b	r	2000	1	6	1
1	29-May-16	8	Red	l	1	0.5205	A	D	b	r	2000	1	6	1
1	29-May-16	9	Red	k	1	0.554	C	A	r	b	2000	1	6	1
1	29-May-16	10	Red	l	1	0.4488	C	D	b	r	2000	1	6	1
1	29-May-16	11	Red	l	1	0.6744	D	B	r	b	2000	1	6	1
1	29-May-16	12	Red	l	1	0.4888	A	D	b	r	2000	1	6	1
1	29-May-16	13	Red	a	1	0.4089	A	C	r	b	2000	1	6	1
1	29-May-16	14	Red	k	1	0.5462	B	C	b	r	2000	1	6	1
1	29-May-16	15	Red	s	1	0.5942	D	B	b	r	2000	1	6	1
1	29-May-16	16	Red	l	1	0.6895	D	C	r	b	2000	1	6	1
1	29-May-16	17	Red	s	1	0.5793	B	C	r	b	2000	1	6	1
1	29-May-16	18	Red	s	1	0.9549	A	B	b	r	2000	1	6	1
1	29-May-16	19	Red	k	1	0.7325	B	C	b	r	2000	1	6	1
1	29-May-16	20	Red	k	1	0.5562	A	C	b	r	2000	1	6	1
1	29-May-16	21	Red	a	1	0.4195	A	B	r	b	2000	1	6	1
1	29-May-16	22	Red	a	1	0.5165	B	A	b	r	2000	1	6	1
1	29-May-16	23	Red	a	1	0.628	A	B	r	b	2000	1	6	1
1	29-May-16	24	Red	a	1	0.484	D	A	b	r	2000	1	6	1
1	29-May-16	25	Red	l	1	0.5149	D	A	r	b	2000	1	6	1
1	29-May-16	26	Red	s	0	0.4752	C	D	r	b	2000	1	6	1
